channel,name,keep,instanseg
La139,Arginase1,1,
Pr141,aSMA,1,
Nd142,EGFR,1,
Nd143,Podoplanin,1,
Nd144,YAP1,1,
Nd145,Caveolin,1,
Nd146,CD16,1,
Sm147,CD163,1,
Sm149,CD140b,1,
Nd150,Syndecan1,1,
Eu151,CD31,1,
Sm152,FAP,1,
Eu153,ITGA11,1,
Gd155,FOXP3,1,
Gd156,CD4,1,
Gd158,E-Cad,1,
Tb159,CD68,1,
Dy161,CD20,1,
Dy162,CD8,1,
Dy163,TenascinC,1,
Dy164,CD11c,1,
Ho165,PD1,1,
Er166,pNFKB,1,
Er167,GranzymeB,1,
Er168,Ki67,1,
Tm169,Collagen1,1,
Er170,pSTAT3,1,
Yb171,pERK,1,
Yb172,FSP1,1,
Yb173,BNIP3,1,
Yb174,IntegrinB1,1,
Lu175,CD146,1,
Yb176,CD90,1,
Ir191,DNA1,1,1
Ir193,DNA2,1,1
Pt195,Marker1,1,2
Pt196,Marker2,1,2
Pt198,Marker3,1,2
