dataset_id,dataset_name,file_role,url,relative_path,expected_size,license,modalities,labels,source_page_url,local_path,size_bytes,sha256,download_status,downloaded_at_utc,target_domain_flag,training_eligible,review_state,recommended_use,data_boundary,case_id
D071,KiTS23 patient conditioning starter,clinical_context_table,https://raw.githubusercontent.com/neheller/kits23/main/dataset/kits23.json,d071_kits23/metadata/kits23.json,1310350,CC BY-NC-SA 4.0,structured clinical context,"age, gender, BMI, comorbidities, smoking, alcohol, eGFR, stage and outcomes",https://github.com/neheller/kits23,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\patient_conditioning_starter_20260717\d071_kits23\metadata\kits23.json,1310350,c747c720a1c8ea6476050b73eb4cc298f4030e1be0d43df1540601ffb1e9924b,verified,2026-07-18T15:14:33.602082+00:00,False,False,review_required,"Patient-conditioning data contract, grouped split, multimodal fusion and safety-fallback engineering validation.","Public non-jaw, non-fluorescence proxy data. It cannot validate patient-adaptive jaw-osteomyelitis or intraoperative ICG segmentation performance.",
D071,KiTS23 patient conditioning starter,sample_ct_image,https://huggingface.co/datasets/neheller/KiTS-Challenge-Imaging/resolve/main/images/case_00000.nii.gz?download=true,d071_kits23/raw/case_00000/imaging.nii.gz,225959569,CC BY-NC-SA 4.0,abdominal CT,"paired with kidney, tumor and cyst segmentation",https://github.com/neheller/kits23,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\patient_conditioning_starter_20260717\d071_kits23\raw\case_00000\imaging.nii.gz,225959569,cdae5f3e0fbc7c98ab0430b3de42677abda2c1cf93ae0f86bd29fb8606688cb7,verified,2026-07-18T15:14:33.803141+00:00,False,False,review_required,"Patient-conditioning data contract, grouped split, multimodal fusion and safety-fallback engineering validation.","Public non-jaw, non-fluorescence proxy data. It cannot validate patient-adaptive jaw-osteomyelitis or intraoperative ICG segmentation performance.",case_00000
D071,KiTS23 patient conditioning starter,sample_pixel_mask,https://raw.githubusercontent.com/neheller/kits23/main/dataset/case_00000/segmentation.nii.gz,d071_kits23/raw/case_00000/segmentation.nii.gz,776578,CC BY-NC-SA 4.0,3D segmentation mask,"kidney, tumor and cyst",https://github.com/neheller/kits23,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\patient_conditioning_starter_20260717\d071_kits23\raw\case_00000\segmentation.nii.gz,776578,93b36b187639981d1473c30b60eb134c69ed207bbbfe6564225830db2d7e5579,verified,2026-07-18T15:14:33.806183+00:00,False,False,review_required,"Patient-conditioning data contract, grouped split, multimodal fusion and safety-fallback engineering validation.","Public non-jaw, non-fluorescence proxy data. It cannot validate patient-adaptive jaw-osteomyelitis or intraoperative ICG segmentation performance.",case_00000
D071,KiTS23 patient conditioning starter,sample_ct_image,https://huggingface.co/datasets/neheller/KiTS-Challenge-Imaging/resolve/main/images/case_00001.nii.gz?download=true,d071_kits23/raw/case_00001/imaging.nii.gz,276387358,CC BY-NC-SA 4.0,abdominal CT,"paired with kidney, tumor and cyst segmentation",https://github.com/neheller/kits23,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\patient_conditioning_starter_20260717\d071_kits23\raw\case_00001\imaging.nii.gz,276387358,3b861149f13a1e8a0b7cae23f624e6c335f538ee9fb6ecc0625b2f062879bed6,verified,2026-07-18T15:14:40.679505+00:00,False,False,review_required,"Patient-conditioning data contract, grouped split, multimodal fusion and safety-fallback engineering validation.","Public non-jaw, non-fluorescence proxy data. It cannot validate patient-adaptive jaw-osteomyelitis or intraoperative ICG segmentation performance.",case_00001
D071,KiTS23 patient conditioning starter,sample_pixel_mask,https://raw.githubusercontent.com/neheller/kits23/main/dataset/case_00001/segmentation.nii.gz,d071_kits23/raw/case_00001/segmentation.nii.gz,851533,CC BY-NC-SA 4.0,3D segmentation mask,"kidney, tumor and cyst",https://github.com/neheller/kits23,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\patient_conditioning_starter_20260717\d071_kits23\raw\case_00001\segmentation.nii.gz,851533,a17e5ecdc4abc44a90ee277f9a61b932c90ee008b82c33fe407514a135f3edbb,verified,2026-07-18T15:14:41.402848+00:00,False,False,review_required,"Patient-conditioning data contract, grouped split, multimodal fusion and safety-fallback engineering validation.","Public non-jaw, non-fluorescence proxy data. It cannot validate patient-adaptive jaw-osteomyelitis or intraoperative ICG segmentation performance.",case_00001
D071,KiTS23 patient conditioning starter,sample_ct_image,https://huggingface.co/datasets/neheller/KiTS-Challenge-Imaging/resolve/main/images/case_00002.nii.gz?download=true,d071_kits23/raw/case_00002/imaging.nii.gz,101967812,CC BY-NC-SA 4.0,abdominal CT,"paired with kidney, tumor and cyst segmentation",https://github.com/neheller/kits23,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\patient_conditioning_starter_20260717\d071_kits23\raw\case_00002\imaging.nii.gz,101967812,58fcd6c4e59c747c2927b4ff12305f553abd33454cff6533082706b946173201,verified,2026-07-18T15:15:37.523578+00:00,False,False,review_required,"Patient-conditioning data contract, grouped split, multimodal fusion and safety-fallback engineering validation.","Public non-jaw, non-fluorescence proxy data. It cannot validate patient-adaptive jaw-osteomyelitis or intraoperative ICG segmentation performance.",case_00002
D071,KiTS23 patient conditioning starter,sample_pixel_mask,https://raw.githubusercontent.com/neheller/kits23/main/dataset/case_00002/segmentation.nii.gz,d071_kits23/raw/case_00002/segmentation.nii.gz,373942,CC BY-NC-SA 4.0,3D segmentation mask,"kidney, tumor and cyst",https://github.com/neheller/kits23,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\patient_conditioning_starter_20260717\d071_kits23\raw\case_00002\segmentation.nii.gz,373942,3966f0fdf015d396a5296d18b4ffbbb91f6c946035a352af581b36664800bf4d,verified,2026-07-18T15:15:37.889540+00:00,False,False,review_required,"Patient-conditioning data contract, grouped split, multimodal fusion and safety-fallback engineering validation.","Public non-jaw, non-fluorescence proxy data. It cannot validate patient-adaptive jaw-osteomyelitis or intraoperative ICG segmentation performance.",case_00002
D071,KiTS23 patient conditioning starter,sample_ct_image,https://huggingface.co/datasets/neheller/KiTS-Challenge-Imaging/resolve/main/images/case_00003.nii.gz?download=true,d071_kits23/raw/case_00003/imaging.nii.gz,118681596,CC BY-NC-SA 4.0,abdominal CT,"paired with kidney, tumor and cyst segmentation",https://github.com/neheller/kits23,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\patient_conditioning_starter_20260717\d071_kits23\raw\case_00003\imaging.nii.gz,118681596,63d267967cd02889415de2978903df36703cd7b5181e1226dc91d4832f7d5586,verified,2026-07-18T15:16:03.259149+00:00,False,False,review_required,"Patient-conditioning data contract, grouped split, multimodal fusion and safety-fallback engineering validation.","Public non-jaw, non-fluorescence proxy data. It cannot validate patient-adaptive jaw-osteomyelitis or intraoperative ICG segmentation performance.",case_00003
D071,KiTS23 patient conditioning starter,sample_pixel_mask,https://raw.githubusercontent.com/neheller/kits23/main/dataset/case_00003/segmentation.nii.gz,d071_kits23/raw/case_00003/segmentation.nii.gz,379266,CC BY-NC-SA 4.0,3D segmentation mask,"kidney, tumor and cyst",https://github.com/neheller/kits23,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\patient_conditioning_starter_20260717\d071_kits23\raw\case_00003\segmentation.nii.gz,379266,64e24f4cd3e90e57228a2dd4598244a208f58034f53f93f07019e99124368440,verified,2026-07-18T15:16:03.605752+00:00,False,False,review_required,"Patient-conditioning data contract, grouped split, multimodal fusion and safety-fallback engineering validation.","Public non-jaw, non-fluorescence proxy data. It cannot validate patient-adaptive jaw-osteomyelitis or intraoperative ICG segmentation performance.",case_00003
D071,KiTS23 patient conditioning starter,sample_ct_image,https://huggingface.co/datasets/neheller/KiTS-Challenge-Imaging/resolve/main/images/case_00004.nii.gz?download=true,d071_kits23/raw/case_00004/imaging.nii.gz,25269467,CC BY-NC-SA 4.0,abdominal CT,"paired with kidney, tumor and cyst segmentation",https://github.com/neheller/kits23,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\patient_conditioning_starter_20260717\d071_kits23\raw\case_00004\imaging.nii.gz,25269467,a9af51c0435086ac7007570c8bc66ceb2a54ecfb7ec530639150635d326f8f1f,verified,2026-07-18T15:16:07.055861+00:00,False,False,review_required,"Patient-conditioning data contract, grouped split, multimodal fusion and safety-fallback engineering validation.","Public non-jaw, non-fluorescence proxy data. It cannot validate patient-adaptive jaw-osteomyelitis or intraoperative ICG segmentation performance.",case_00004
