"audit_id","english_title","suggested_chinese_title","doi","pmid","pmcid","metadata_sources","oa_status","license_or_rights","legal_full_text_entry","archive_path","archive_status","sha256","audit_note"
"L01","Tetracycline Bone Fluorescence: A Valuable Marker for Osteonecrosis Characterization and Therapy","四环素骨荧光：用于骨坏死表征与治疗的有价值标志物","10.1016/j.joms.2009.05.442","20006166","","PubMed; Crossref; OpenAlex","closed","Publisher TDM terms only; no OA license found","https://doi.org/10.1016/j.joms.2009.05.442","","restricted_entry_only","","No lawful public full-text copy identified."
"L02","Comparison of auto-fluorescence and tetracycline fluorescence for guided bone surgery of medication-related osteonecrosis of the jaw: a randomized controlled feasibility study","药物相关颌骨坏死引导骨手术中自发荧光与四环素荧光的比较：随机对照可行性研究","10.1016/j.ijom.2016.10.008","27856150","","PubMed; Crossref; OpenAlex","closed","Publisher TDM terms only; no OA license found","https://doi.org/10.1016/j.ijom.2016.10.008","","restricted_entry_only","","No lawful public full-text copy identified."
"L03","Differences between auto-fluorescence and tetracycline-fluorescence in medication-related osteonecrosis of the jaw—a preclinical proof of concept study in the mini-pig","药物相关颌骨坏死中自发荧光与四环素荧光的差异：小型猪临床前概念验证研究","10.1007/s00784-020-03332-2","32444918","PMC7666678","PubMed; Crossref; Europe PMC; Unpaywall","hybrid_open_full_text","CC BY 4.0 (Crossref published version)","https://link.springer.com/content/pdf/10.1007/s00784-020-03332-2.pdf","research/datasets/literature_audit_20260728/raw/L03_10.1007_s00784-020-03332-2.pdf","archived_from_existing_legal_copy","CD2BA15BA6F39F9F0CC3FE44D95850C08B3FCFAAC79A03184FC1514ED3ECF27A","The direct publisher endpoint failed TLS retrieval during this audit; archive was copied from the existing local legal copy and hash reverified."
"L04","Characterization of eight different tetracyclines: advances in fluorescence bone labeling","八种不同四环素的表征：荧光骨标记的进展","10.1111/j.1469-7580.2010.01237.x","20456523","PMC2913014","PubMed; Crossref; Europe PMC","public_repository_full_text","Rights not exposed in retrieved metadata; PMC public full-text page","https://pmc.ncbi.nlm.nih.gov/articles/PMC2913014/","","open_entry_retry_required","","Full text is publicly accessible through PMC; PDF endpoint timed out in this environment, so no local binary is claimed."
"L05","Fluorescent tetracycline bone labeling as an intraoperative tool to debride necrotic bone during septic hip revision: a preliminary case series","荧光四环素骨标记作为感染性髋关节翻修术中清除坏死骨的工具：初步病例系列","10.5194/jbji-6-85-2021","34084695","PMC8132458","PubMed; Crossref; Europe PMC; Unpaywall","gold_open_full_text","CC BY 4.0","https://jbji.copernicus.org/articles/6/85/2021/jbji-6-85-2021.pdf","","open_entry_retry_required","","Publisher and PMC full-text entries verified; PDF endpoint timed out in this environment."
"L06","Intraoperative assessment of bone viability through improved analysis and visualization of dynamic contrast-enhanced fluorescence imaging: technique report","通过改进动态对比增强荧光成像的分析与可视化进行术中骨活性评估：技术报告","10.1097/OI9.0000000000000222","36569105","PMC9782343","PubMed; Crossref; Europe PMC; Unpaywall","gold_open_full_text","CC BY 4.0 (Crossref)","https://pmc.ncbi.nlm.nih.gov/articles/PMC9782343/","","open_entry_retry_required","","PMC full-text entry verified; PDF endpoint timed out in this environment."
"L07","In vivo albumin labeling and lymphatic imaging","体内白蛋白标记与淋巴成像","10.1073/pnas.1414821112","25535368","PMC4291643","PubMed; Crossref; Europe PMC; Unpaywall","bronze_public_full_text","No explicit reuse license returned by Crossref or Unpaywall","https://www.pnas.org/doi/10.1073/pnas.1414821112","","public_reading_entry_only","","Public reading/PDF endpoint is indexed, but reuse license was not verified and publisher PDF returned HTTP 403; no local copy archived."
"L08","Evans blue nanocarriers visually demarcate margins of invasive gliomas","伊文思蓝纳米载体可视化勾画侵袭性胶质瘤边界","10.1007/s13346-013-0139-x","25787737","","PubMed; Crossref; OpenAlex","closed","Publisher TDM terms only; no OA license found","https://doi.org/10.1007/s13346-013-0139-x","","restricted_entry_only","","No lawful public full-text copy identified."
"L09","131I-Evans blue: evaluation of necrosis targeting property and preliminary assessment of the mechanism in animal models","碘-131伊文思蓝：坏死靶向特性的评价及其动物模型机制初步研究","10.1016/j.apsb.2017.08.002","29881678","PMC5989829","PubMed; Crossref; Europe PMC; Unpaywall","gold_open_full_text","CC BY-NC-ND 4.0","https://pmc.ncbi.nlm.nih.gov/articles/PMC5989829/","","open_entry_retry_required","","PMC full-text entry and Crossref license verified; PDF endpoint timed out in this environment."
"L10","Deep Learning Applications for Acute Stroke Management","深度学习在急性卒中管理中的应用","10.1002/ana.26435","35689531","","PubMed; Crossref","restricted_or_license_unconfirmed","Wiley terms returned; no OA license verified","https://doi.org/10.1002/ana.26435","","restricted_entry_only","","No lawful public full-text archive was verified."
"L11","Uncertainty estimation using a 3D probabilistic U-Net for segmentation with small radiotherapy clinical trial datasets","采用三维概率 U-Net 对小型放疗临床试验数据集进行分割不确定性估计","10.1016/j.compmedimag.2024.102403","38878632","","PubMed; Crossref; Unpaywall","hybrid_open_full_text","CC BY 4.0 (Crossref published version)","https://doi.org/10.1016/j.compmedimag.2024.102403","","open_entry_retry_required","","Crossref identifies a CC BY published version; ScienceDirect PDF endpoint failed TLS retrieval during this audit."
"L12","Multi-rater Prism: Learning self-calibrated medical image segmentation from multiple raters","多标注者 Prism：从多名标注者学习自校准医学图像分割","10.1016/j.scib.2024.06.037","39155196","","PubMed; Crossref; Unpaywall","hybrid_open_full_text","CC BY 4.0 (Crossref published version)","https://doi.org/10.1016/j.scib.2024.06.037","","open_entry_retry_required","","Crossref identifies a CC BY published version; ScienceDirect PDF endpoint failed TLS retrieval during this audit."
