record_id,split,video_path,frame_index,timestamp_sec,reference_path,fluorescence_enhanced_path,pseudo_color_path,fusion_overlay_path,threshold,mean_intensity,max_intensity,p95_intensity,positive_area_px,positive_area_fraction,method,domain_boundary
OFDVDNET_001,train,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-121707-000004-record.mp4,384,25.6,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_001\OFDVDNET_001_reference.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_001\OFDVDNET_001_fluorescence_enhanced.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_001\OFDVDNET_001_pseudo_color.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_001\OFDVDNET_001_fusion_overlay.jpg,0.6,0.099391,1.0,0.354046,17603,0.022383,ofdvdnet_fluorescence_baseline,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.
OFDVDNET_002,train,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-121809-000007-record.mp4,600,40.0,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_002\OFDVDNET_002_reference.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_002\OFDVDNET_002_fluorescence_enhanced.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_002\OFDVDNET_002_pseudo_color.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_002\OFDVDNET_002_fusion_overlay.jpg,0.6,0.16478,1.0,0.727085,58837,0.074815,ofdvdnet_fluorescence_baseline,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.
OFDVDNET_003,train,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-121933-000010-record.mp4,568,37.86666666666667,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_003\OFDVDNET_003_reference.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_003\OFDVDNET_003_fluorescence_enhanced.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_003\OFDVDNET_003_pseudo_color.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_003\OFDVDNET_003_fusion_overlay.jpg,0.6,0.201727,1.0,0.791484,81431,0.103545,ofdvdnet_fluorescence_baseline,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.
OFDVDNET_005,train,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-123850-000005-record.mp4,256,17.066666666666666,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_005\OFDVDNET_005_reference.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_005\OFDVDNET_005_fluorescence_enhanced.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_005\OFDVDNET_005_pseudo_color.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_005\OFDVDNET_005_fusion_overlay.jpg,0.6,0.132488,1.0,0.603918,39773,0.050574,ofdvdnet_fluorescence_baseline,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.
OFDVDNET_006,train,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-123923-000006-record.mp4,680,45.333333333333336,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_006\OFDVDNET_006_reference.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_006\OFDVDNET_006_fluorescence_enhanced.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_006\OFDVDNET_006_pseudo_color.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_006\OFDVDNET_006_fusion_overlay.jpg,0.6,0.082748,1.0,0.5,28747,0.036554,ofdvdnet_fluorescence_baseline,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.
OFDVDNET_007,train,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-124515-000009-record.mp4,614,40.93333333333333,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_007\OFDVDNET_007_reference.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_007\OFDVDNET_007_fluorescence_enhanced.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_007\OFDVDNET_007_pseudo_color.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_007\OFDVDNET_007_fusion_overlay.jpg,0.6,0.11516,1.0,0.599944,39294,0.049965,ofdvdnet_fluorescence_baseline,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.
OFDVDNET_008,train,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-124634-000012-record.mp4,551,36.733333333333334,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_008\OFDVDNET_008_reference.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_008\OFDVDNET_008_fluorescence_enhanced.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_008\OFDVDNET_008_pseudo_color.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_008\OFDVDNET_008_fusion_overlay.jpg,0.6,0.104296,1.0,0.599206,38919,0.049488,ofdvdnet_fluorescence_baseline,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.
OFDVDNET_009,train,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-124746-000015-record.mp4,581,38.733333333333334,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_009\OFDVDNET_009_reference.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_009\OFDVDNET_009_fluorescence_enhanced.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_009\OFDVDNET_009_pseudo_color.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_009\OFDVDNET_009_fusion_overlay.jpg,0.6,0.102902,1.0,0.575397,36073,0.045869,ofdvdnet_fluorescence_baseline,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.
OFDVDNET_010,train,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-124901-000018-record.mp4,320,21.333333333333332,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_010\OFDVDNET_010_reference.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_010\OFDVDNET_010_fluorescence_enhanced.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_010\OFDVDNET_010_pseudo_color.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_010\OFDVDNET_010_fusion_overlay.jpg,0.6,0.11614,1.0,0.587302,37758,0.048012,ofdvdnet_fluorescence_baseline,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.
OFDVDNET_011,train,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-125008-000021-record.mp4,614,40.93333333333333,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_011\OFDVDNET_011_reference.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_011\OFDVDNET_011_fluorescence_enhanced.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_011\OFDVDNET_011_pseudo_color.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\baseline_enhancement\OFDVDNET_011\OFDVDNET_011_fusion_overlay.jpg,0.6,0.111384,1.0,0.599944,38975,0.049559,ofdvdnet_fluorescence_baseline,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.
