record_id,dataset_id,video_path,source_zip,original_filename,split,width,height,fps,frame_count,duration_sec,view_layout,overlay_xyxy,fluorescence_xyxy,reference_xyxy,full_preview_path,overlay_preview_path,fluorescence_preview_path,reference_preview_path,source_page_original_link,domain_boundary,readable,probe_error
OFDVDNET_001,D046_OFDVDNET,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-121707-000004-record.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\data.zip,OL-2021-07-20-121707-000004-record.mp4,train,2048,1536,15.0,770,51.333333,top_left_overlay__top_right_fluorescence__bottom_left_reference,0|0|1024|768,1024|0|2048|768,0|768|1024|1536,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_001_full.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_001_overlay.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_001_fluorescence.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_001_reference.jpg,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,True,
OFDVDNET_002,D046_OFDVDNET,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-121809-000007-record.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\data.zip,OL-2021-07-20-121809-000007-record.mp4,train,2048,1536,15.0,1202,80.133333,top_left_overlay__top_right_fluorescence__bottom_left_reference,0|0|1024|768,1024|0|2048|768,0|768|1024|1536,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_002_full.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_002_overlay.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_002_fluorescence.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_002_reference.jpg,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,True,
OFDVDNET_003,D046_OFDVDNET,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-121933-000010-record.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\data.zip,OL-2021-07-20-121933-000010-record.mp4,train,2048,1536,15.0,1136,75.733333,top_left_overlay__top_right_fluorescence__bottom_left_reference,0|0|1024|768,1024|0|2048|768,0|768|1024|1536,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_003_full.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_003_overlay.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_003_fluorescence.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_003_reference.jpg,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,True,
OFDVDNET_004,D046_OFDVDNET,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-122106-000013-record.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\data.zip,OL-2021-07-20-122106-000013-record.mp4,train,0,0,0.0,0,,top_left_overlay__top_right_fluorescence__bottom_left_reference,0|0|0|0,0|0|0|0,0|0|0|0,,,,,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,False,Could not open video: C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-122106-000013-record.mp4
OFDVDNET_005,D046_OFDVDNET,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-123850-000005-record.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\data.zip,OL-2021-07-20-123850-000005-record.mp4,train,2048,1536,15.0,513,34.2,top_left_overlay__top_right_fluorescence__bottom_left_reference,0|0|1024|768,1024|0|2048|768,0|768|1024|1536,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_005_full.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_005_overlay.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_005_fluorescence.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_005_reference.jpg,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,True,
OFDVDNET_006,D046_OFDVDNET,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-123923-000006-record.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\data.zip,OL-2021-07-20-123923-000006-record.mp4,train,2048,1536,15.0,1361,90.733333,top_left_overlay__top_right_fluorescence__bottom_left_reference,0|0|1024|768,1024|0|2048|768,0|768|1024|1536,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_006_full.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_006_overlay.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_006_fluorescence.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_006_reference.jpg,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,True,
OFDVDNET_007,D046_OFDVDNET,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-124515-000009-record.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\data.zip,OL-2021-07-20-124515-000009-record.mp4,train,2048,1536,15.0,1229,81.933333,top_left_overlay__top_right_fluorescence__bottom_left_reference,0|0|1024|768,1024|0|2048|768,0|768|1024|1536,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_007_full.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_007_overlay.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_007_fluorescence.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_007_reference.jpg,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,True,
OFDVDNET_008,D046_OFDVDNET,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-124634-000012-record.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\data.zip,OL-2021-07-20-124634-000012-record.mp4,train,2048,1536,15.0,1103,73.533333,top_left_overlay__top_right_fluorescence__bottom_left_reference,0|0|1024|768,1024|0|2048|768,0|768|1024|1536,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_008_full.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_008_overlay.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_008_fluorescence.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_008_reference.jpg,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,True,
OFDVDNET_009,D046_OFDVDNET,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-124746-000015-record.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\data.zip,OL-2021-07-20-124746-000015-record.mp4,train,2048,1536,15.0,1163,77.533333,top_left_overlay__top_right_fluorescence__bottom_left_reference,0|0|1024|768,1024|0|2048|768,0|768|1024|1536,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_009_full.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_009_overlay.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_009_fluorescence.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_009_reference.jpg,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,True,
OFDVDNET_010,D046_OFDVDNET,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-124901-000018-record.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\data.zip,OL-2021-07-20-124901-000018-record.mp4,train,2048,1536,15.0,642,42.8,top_left_overlay__top_right_fluorescence__bottom_left_reference,0|0|1024|768,1024|0|2048|768,0|768|1024|1536,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_010_full.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_010_overlay.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_010_fluorescence.jpg,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\ofdvdnet\previews\OFDVDNET_010_reference.jpg,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,True,
