id,name,link,modality,icg,oral_or_jaw,bone_or_infection,downloadable,training_value,demo_value,project_use,limitation
V001,Dryad FGS video denoising dataset,https://datadryad.org/dataset/doi%3A10.5061/dryad.8gtht76x9,fluorescence surgery video,yes,no,no,yes,medium,high,ICG video denoising enhancement false-color workflow,Mock chicken thigh surgery; not oral or osteomyelitis
V002,OFDVDnet Dryad dataset,https://datadryad.org/dataset/doi%3A10.5061/dryad.v6wwpzh3w,fluorescence surgery video,yes,no,no,yes,medium,high,Reference fluorescence overlay splitting and denoising baseline,Mock chicken thigh surgery; no disease labels
V003,OFDVDnet code,https://github.com/WillianJrLin/OFDVDnet,code and dataset pointer,yes,no,no,yes,medium,medium,Model reference for fluorescence video denoising,Not a jaw or infection model
V004,NCT04245111 Fluorescence Imaging to Guide Debridement of Fracture and Infection,https://clinicaltrials.gov/study/NCT04245111,clinical ICG protocol,yes,no,yes,no,low,medium,Medical rationale and possible author-contact target,No public MP4 download found
V005,NCT04245111 protocol PDF,https://cdn.clinicaltrials.gov/large-docs/11/NCT04245111/Prot_SAP_000.pdf,clinical ICG protocol,yes,no,yes,no,low,medium,Protocol evidence for bone infection video-rate ICG imaging,Protocol only
V006,Real-time NSTI ICG fluorescence study,https://pmc.ncbi.nlm.nih.gov/articles/PMC11092151/,infection ICG clinical study,yes,no,yes,no,low,medium,Infection perfusion-defect rationale and ROI/SBR method,No raw video dataset
V007,Bone perfusion ICG systematic review,https://www.mdpi.com/2075-1729/12/2/154,review,yes,no,yes,no,low,medium,Medical boundary and bone perfusion rationale,Not a dataset
V008,ORNJ fluorescence-guided surgery study,https://journals.sagepub.com/doi/abs/10.1177/03000605221104186,jaw fluorescence-guided surgery,no,yes,yes,no,low,medium,Jaw bone necrosis surgical boundary literature,Not ICG and no open video dataset
V009,DCSO mandible VELscope paper,https://pmc.ncbi.nlm.nih.gov/articles/PMC4628814/,jaw autofluorescence case report,no,yes,yes,no,low,medium,Jaw osteomyelitis fluorescence-like evidence,VELscope/autofluorescence; no dataset
V010,CBCT-derived cine MP4 from D025 and hospital cases,local_generated,CBCT pseudo-video,no,yes,proxy,local,medium,high,MP4 input bridge for lesion/anatomy model demos,Proxy video only; must not be described as real surgical ICG video
V011,Surgical Debridement for Acute and Chronic Osteomyelitis in Children,https://pmc.ncbi.nlm.nih.gov/articles/PMC10807896/,osteomyelitis surgical technique video,no,no,yes,yes,low,high,Open osteomyelitis debridement MP4 material for input/keyframe demos,No ICG; no segmentation labels; mostly pediatric long-bone surgery
V012,Biportal Endoscopic Intramedullary Debridement for Management of Tibial Osteomyelitis,https://pmc.ncbi.nlm.nih.gov/articles/PMC12350196/,tibial osteomyelitis surgical video,no,no,yes,yes,low,high,Endoscopic bone infection debridement video for MP4 workflow,Single technique video; no ICG or labels
V013,Phalangeal Reaming and Irrigation for Thumb Osteomyelitis,https://pmc.ncbi.nlm.nih.gov/articles/PMC12147590/,small-bone osteomyelitis surgical video,no,no,yes,yes,low,high,Small-bone osteomyelitis video proxy closer to jaw-scale bone than long-bone videos,No ICG; no labels
V014,Treatment for Calcaneal Osteomyelitis with Pseudoarthrosis,https://pmc.ncbi.nlm.nih.gov/articles/PMC12078111/,calcaneal osteomyelitis surgical video,no,no,yes,yes,low,medium,Bone infection reconstruction video reference,Not diagnostic or fluorescence data
V015,Tuberculous osteomyelitis of the maxilla,https://pmc.ncbi.nlm.nih.gov/articles/PMC4405963/,maxillary osteomyelitis case video,no,yes,yes,yes,low,medium,Closest jaw osteomyelitis video material found; can be transcoded for demo,FLV format; case report; no ICG or labels
V016,Abscess pulsatility sonographic sign of osteomyelitis,https://pmc.ncbi.nlm.nih.gov/articles/PMC10547659/,osteomyelitis ultrasound video,no,no,yes,yes,low,medium,Diagnostic video reference for osteomyelitis imaging,Ultrasound not surgical/fluorescence video
V017,Mucormycotic osteomyelitis after ACL reconstruction,https://pmc.ncbi.nlm.nih.gov/articles/PMC12914110/,osteomyelitis case video,no,no,yes,yes,low,medium,Additional bone infection MP4 material,Non-oral and no ICG
V018,Tibialization of Fibula for Large Segment Tibia Loss Following Chronic Osteomyelitis,https://pmc.ncbi.nlm.nih.gov/articles/PMC12879947/,chronic osteomyelitis reconstruction video,no,no,yes,yes,low,medium,Chronic osteomyelitis reconstruction video reference,No ICG or labels
V019,Metacarpal osteomyelitis following cat bite,https://pmc.ncbi.nlm.nih.gov/articles/PMC12456365/,small-bone osteomyelitis case video,no,no,yes,yes,low,medium,Small-bone osteomyelitis MP4 material for demo,No ICG or labels
