record_id,group,title,source_page_original_link,direct_download_link,local_path,fluorescence,medical_scene,usable_for_training,notes,download_status,error_or_note,size_bytes,sha256,downloaded_at_utc
PMC10807896_S001,osteomyelitis_pmc,Surgical Debridement for Acute and Chronic Osteomyelitis in Children,https://pmc.ncbi.nlm.nih.gov/articles/PMC10807896/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/2847/10807896/b701a19a68b7/jxt-13-e21.00039-s001-pmcvs_normal.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC10807896_child_debridement\jxt-13-e21.00039-s001.mp4,no,pediatric acute/chronic osteomyelitis debridement,no_labels_demo_or_self_supervised_only,Non-fluorescence surgical technique video.,exists,,23174902,b40840ce58ebc732ded1a0972bf4796a6ebd537b84491419b7182041f6a4474b,2026-07-03T14:00:47.4698797Z
PMC10807896_S002,osteomyelitis_pmc,Surgical Debridement for Acute and Chronic Osteomyelitis in Children,https://pmc.ncbi.nlm.nih.gov/articles/PMC10807896/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/2847/10807896/f20ed6365290/jxt-13-e21.00039-s002-pmcvs_normal.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC10807896_child_debridement\jxt-13-e21.00039-s002.mp4,no,pediatric acute/chronic osteomyelitis debridement,no_labels_demo_or_self_supervised_only,Non-fluorescence surgical technique video.,exists,,45046760,4602bbe1c43f8bf34a57c535a187d06bfc160cc286f589158440c5eaa9b060ae,2026-07-03T14:00:47.4698797Z
PMC10807896_S003,osteomyelitis_pmc,Surgical Debridement for Acute and Chronic Osteomyelitis in Children,https://pmc.ncbi.nlm.nih.gov/articles/PMC10807896/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/2847/10807896/7e6786261212/jxt-13-e21.00039-s003-pmcvs_normal.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC10807896_child_debridement\jxt-13-e21.00039-s003.mp4,no,pediatric acute/chronic osteomyelitis debridement,no_labels_demo_or_self_supervised_only,Non-fluorescence surgical technique video.,exists,,30570664,5b365f1bb1ba42fc10c17575008601116ffe7b49d3dc149560ab0161b6adb28b,2026-07-03T14:00:47.4698797Z
PMC10807896_S004,osteomyelitis_pmc,Surgical Debridement for Acute and Chronic Osteomyelitis in Children,https://pmc.ncbi.nlm.nih.gov/articles/PMC10807896/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/2847/10807896/1ca2dc50d3fa/jxt-13-e21.00039-s004-pmcvs_normal.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC10807896_child_debridement\jxt-13-e21.00039-s004.mp4,no,pediatric acute/chronic osteomyelitis debridement,no_labels_demo_or_self_supervised_only,Non-fluorescence surgical technique video.,exists,,2085251,ba28f88f1246674eaf7b6fdb77c79b40ffe738da91030096ffa0987dd119856b,2026-07-03T14:00:47.4698797Z
PMC10807896_S005,osteomyelitis_pmc,Surgical Debridement for Acute and Chronic Osteomyelitis in Children,https://pmc.ncbi.nlm.nih.gov/articles/PMC10807896/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/2847/10807896/72c5cf137c20/jxt-13-e21.00039-s005-pmcvs_normal.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC10807896_child_debridement\jxt-13-e21.00039-s005.mp4,no,pediatric acute/chronic osteomyelitis debridement,no_labels_demo_or_self_supervised_only,Non-fluorescence surgical technique video.,exists,,10441739,5d61a4805af13568e3a55950269a4b4d5947ede39f596ae2f76244d1f827bc8f,2026-07-03T14:00:47.4698797Z
PMC10807896_S006,osteomyelitis_pmc,Surgical Debridement for Acute and Chronic Osteomyelitis in Children,https://pmc.ncbi.nlm.nih.gov/articles/PMC10807896/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/2847/10807896/81919eb867f0/jxt-13-e21.00039-s006-pmcvs_normal.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC10807896_child_debridement\jxt-13-e21.00039-s006.mp4,no,pediatric acute/chronic osteomyelitis debridement,no_labels_demo_or_self_supervised_only,Non-fluorescence surgical technique video.,exists,,14374323,37c3044ff410708d0a833ed7cf99af45cc52cf1113c7d46c0b340777bcf873d1,2026-07-03T14:00:47.4698797Z
PMC10807896_S007,osteomyelitis_pmc,Surgical Debridement for Acute and Chronic Osteomyelitis in Children,https://pmc.ncbi.nlm.nih.gov/articles/PMC10807896/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/2847/10807896/c362d4656aec/jxt-13-e21.00039-s007-pmcvs_normal.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC10807896_child_debridement\jxt-13-e21.00039-s007.mp4,no,pediatric acute/chronic osteomyelitis debridement,no_labels_demo_or_self_supervised_only,Non-fluorescence surgical technique video.,exists,,83546117,28d91f52530365a1a3a3c1934785f76aad73621edad3ee77c4f488350398ddc7,2026-07-03T14:00:47.4698797Z
PMC10807896_S008,osteomyelitis_pmc,Surgical Debridement for Acute and Chronic Osteomyelitis in Children,https://pmc.ncbi.nlm.nih.gov/articles/PMC10807896/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/2847/10807896/ad5165f4a971/jxt-13-e21.00039-s008-pmcvs_normal.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC10807896_child_debridement\jxt-13-e21.00039-s008.mp4,no,pediatric acute/chronic osteomyelitis debridement,no_labels_demo_or_self_supervised_only,Non-fluorescence surgical technique video.,exists,,55964713,780fbae2a3f2c100e3fb0968c3ff1e6ea13704a51ec1a3f9c92e8b41ea5dfeb9,2026-07-03T14:00:47.4698797Z
PMC10807896_S009,osteomyelitis_pmc,Surgical Debridement for Acute and Chronic Osteomyelitis in Children,https://pmc.ncbi.nlm.nih.gov/articles/PMC10807896/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/2847/10807896/db5d53d38db3/jxt-13-e21.00039-s009-pmcvs_normal.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC10807896_child_debridement\jxt-13-e21.00039-s009.mp4,no,pediatric acute/chronic osteomyelitis debridement,no_labels_demo_or_self_supervised_only,Non-fluorescence surgical technique video.,exists,,21710235,ab1290c9a833b3924e3f223e7d9721096deea8a3e0dfbf7e22b3c69e86dfa082,2026-07-03T14:00:47.4698797Z
PMC10807896_S010,osteomyelitis_pmc,Surgical Debridement for Acute and Chronic Osteomyelitis in Children,https://pmc.ncbi.nlm.nih.gov/articles/PMC10807896/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/2847/10807896/2e1a7b1e6f2d/jxt-13-e21.00039-s010-pmcvs_normal.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC10807896_child_debridement\jxt-13-e21.00039-s010.mp4,no,pediatric acute/chronic osteomyelitis debridement,no_labels_demo_or_self_supervised_only,Non-fluorescence surgical technique video.,exists,,22123815,f35faaa9ac4e696703e6b3195d079764ee622ef2c6fd12bcc91cc2dc39f2816a,2026-07-03T14:00:47.4698797Z
