model_id,model_family,seed,threshold,checkpoint_path,foreground_mean_dice,foreground_mean_iou,foreground_precision_mean,foreground_recall_mean,boundary_f1_mean,ece,brier_score,empty_mask_rate,over_segmentation_rate,mean_latency_ms,p95_latency_ms,peak_gpu_memory_mb,parameter_count
keyframe_convnext_unet_s20260726,convnext2d_keyframe_segmenter,20260726,0.65,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_convnext_unet_s20260726_20260726.pt,0.8987346973795938,0.8175897906006855,0.913794796578713,0.8881254415139005,0.9851420956065167,0.005522404575026802,0.01639334298670292,0.0,0.0,2.736942250278293,3.3250999450683594,22.19287109375,77258
keyframe_multiscale_depthwise_unet_s20260726_20260726,multiscale_depthwise_unet_keyframe_segmenter,20260726,0.5,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_multiscale_depthwise_unet_s20260726_20260726.pt,0.8934623994782567,0.8085552833595364,0.9039476954513948,0.8867647712884799,0.9813809890579708,0.006229273464393732,0.017380427569150925,0.0,0.0,3.4967859146106517,4.298449993133545,21.138671875,29414
keyframe_multiscale_depthwise_unet_s20260726_20260727,multiscale_depthwise_unet_keyframe_segmenter,20260727,0.5,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_multiscale_depthwise_unet_s20260726_20260727.pt,0.9060473332097787,0.8284928400398591,0.9081584771861032,0.9055727647633339,0.9865941631403644,0.0050846816821272485,0.015198527835309505,0.0,0.0,3.9348816921324534,5.320400238037109,21.138671875,29414
keyframe_multiscale_depthwise_unet_s20260726_20260728,multiscale_depthwise_unet_keyframe_segmenter,20260728,0.65,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_multiscale_depthwise_unet_s20260726_20260728.pt,0.9129225408617998,0.8402461719522076,0.9149912104966178,0.9127113395568018,0.9867016491365741,0.008332432658786557,0.014697885140776634,0.0,0.0,3.3482830987056116,3.982150077819824,21.138671875,29414
keyframe_nested_skip_unet_s20260726_20260726,nested_skip_unet_keyframe_segmenter,20260726,0.6,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_nested_skip_unet_s20260726_20260726.pt,0.911197115158574,0.838210055409897,0.9235007695226317,0.9025138166383075,0.9854017595057883,0.005965610965184392,0.014712836593389511,0.0,0.0,2.14608873012738,2.5208499431610107,27.0380859375,99374
keyframe_nested_skip_unet_s20260726_20260727,nested_skip_unet_keyframe_segmenter,20260727,0.4,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_nested_skip_unet_s20260726_20260727.pt,0.9195557192845512,0.8514555450750193,0.9289175346126213,0.9120169635504295,0.9897779234609215,0.00550133021817345,0.013593015260994434,0.0,0.0,2.162174648411808,2.8210999965667725,27.0380859375,99374
keyframe_nested_skip_unet_s20260726_20260728,nested_skip_unet_keyframe_segmenter,20260728,0.65,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_nested_skip_unet_s20260726_20260728.pt,0.9132212146461283,0.841872815413123,0.925826351696722,0.9047923360600278,0.9851222625298708,0.006153125238862679,0.014648165553808212,0.0,0.0,2.368971832099856,3.0128002166748047,27.0380859375,99374
keyframe_plain_unet_s20260726_20260726,plain_unet_keyframe_segmenter,20260726,0.5,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_plain_unet_s20260726_20260726.pt,0.9110282947708319,0.8379679005963185,0.9233671243939621,0.9024508552331287,0.9860346276587796,0.0059378554037754355,0.014819907955825329,0.0,0.0,2.029515493785779,2.719449996948242,24.130859375,92846
keyframe_plain_unet_s20260726_20260727,plain_unet_keyframe_segmenter,20260727,0.4,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_plain_unet_s20260726_20260727.pt,0.9175760948468263,0.8479949991981,0.9316533274968454,0.905498230904378,0.9894835839053882,0.005597920657358045,0.013943358324468136,0.0,0.0,1.9948577477996776,2.4857001304626465,24.130859375,92846
keyframe_plain_unet_s20260726_20260728,plain_unet_keyframe_segmenter,20260728,0.5,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_plain_unet_s20260726_20260728.pt,0.9075516221997818,0.8326554642483153,0.9193897534733898,0.9004133036429699,0.9842228155324683,0.004437646197879986,0.015470005571842194,0.0,0.0,2.1520535195980903,2.9310500621795654,24.130859375,92846
keyframe_residual_attention_unet_s20260726_20260726,residual_attention_unet_keyframe_segmenter,20260726,0.55,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_residual_attention_unet_s20260726_20260726.pt,0.9146955414644888,0.844560606150488,0.9309409849693979,0.9028206308738559,0.985394950493051,0.0033951481163699768,0.014048931188881397,0.0,0.0,6.637554929729446,9.196599960327148,27.0166015625,403785
keyframe_residual_attention_unet_s20260726_20260727,residual_attention_unet_keyframe_segmenter,20260727,0.35,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_residual_attention_unet_s20260726_20260727.pt,0.9198094382300704,0.8520076692200182,0.9323492767604306,0.9092377086022674,0.988596745527222,0.008740143657713952,0.013905822299420834,0.0,0.0,4.459866197143589,5.672149658203125,27.0166015625,403785
keyframe_residual_attention_unet_s20260726_20260728,residual_attention_unet_keyframe_segmenter,20260728,0.6,C:\Users\876762330\Desktop\projects\osteo-vision\artifacts\checkpoints\osteo_vision\keyframe_residual_attention_unet_s20260726_20260728.pt,0.9155851681131507,0.8462137651237985,0.9281619449268115,0.9075989495647545,0.9857936820812433,0.0030559417572250587,0.013851605355739594,0.0,0.0,4.8309915488369395,5.609000205993652,27.0166015625,403785
