case_id,frame_index,height,image_path,input_domain,label_source,mask_path,mask_type,medical_boundary,quality_status,review_state,sample_weight,source_candidate_id,source_case_id,source_manifest_path,source_record_type,source_roi_id,source_video_path,split,timestamp_sec,width
vsm_d046_video_signal_OFDVDNET_001_frame_000000_c996d9b591_fluorescence_hotspot_ad83de208e2f,0,1536,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\keyframes\d046_video_signal_OFDVDNET_001_frame_000000_c996d9b591.jpg,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,fluorescence_intensity_proxy_mask,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\masks_proxy\d046_video_signal_OFDVDNET_001_frame_000000_c996d9b591_fluorescence_signal_mask.png,fluorescence_hotspot,"This multi-mask manifest merges public/proxy video-signal masks and prompt-assisted review masks. It is for platform model training and error analysis only, not real intraoperative ICG jaw osteomyelitis clinical ground truth.",accepted,review_required,1.0,,d046_video_signal_OFDVDNET_001_frame_000000_c996d9b591,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\video_signal_segmentation_manifest.csv,video_signal_manifest,,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-121707-000004-record.mp4,train,0.0,2048
vsm_d046_video_signal_OFDVDNET_001_frame_000192_157b617ea0_fluorescence_hotspot_c8b45c538a4a,192,1536,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\keyframes\d046_video_signal_OFDVDNET_001_frame_000192_157b617ea0.jpg,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,fluorescence_intensity_proxy_mask,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\masks_proxy\d046_video_signal_OFDVDNET_001_frame_000192_157b617ea0_fluorescence_signal_mask.png,fluorescence_hotspot,"This multi-mask manifest merges public/proxy video-signal masks and prompt-assisted review masks. It is for platform model training and error analysis only, not real intraoperative ICG jaw osteomyelitis clinical ground truth.",accepted,review_required,1.0,,d046_video_signal_OFDVDNET_001_frame_000192_157b617ea0,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\video_signal_segmentation_manifest.csv,video_signal_manifest,,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-121707-000004-record.mp4,val,12.8,2048
vsm_d046_video_signal_OFDVDNET_001_frame_000384_4df21f513d_fluorescence_hotspot_eff464e4926c,384,1536,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\keyframes\d046_video_signal_OFDVDNET_001_frame_000384_4df21f513d.jpg,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,fluorescence_intensity_proxy_mask,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\masks_proxy\d046_video_signal_OFDVDNET_001_frame_000384_4df21f513d_fluorescence_signal_mask.png,fluorescence_hotspot,"This multi-mask manifest merges public/proxy video-signal masks and prompt-assisted review masks. It is for platform model training and error analysis only, not real intraoperative ICG jaw osteomyelitis clinical ground truth.",accepted,review_required,1.0,,d046_video_signal_OFDVDNET_001_frame_000384_4df21f513d,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\video_signal_segmentation_manifest.csv,video_signal_manifest,,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-121707-000004-record.mp4,train,25.6,2048
vsm_d046_video_signal_OFDVDNET_001_frame_000577_1ab8848a55_fluorescence_hotspot_8d9629b083b6,577,1536,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\keyframes\d046_video_signal_OFDVDNET_001_frame_000577_1ab8848a55.jpg,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,fluorescence_intensity_proxy_mask,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\masks_proxy\d046_video_signal_OFDVDNET_001_frame_000577_1ab8848a55_fluorescence_signal_mask.png,fluorescence_hotspot,"This multi-mask manifest merges public/proxy video-signal masks and prompt-assisted review masks. It is for platform model training and error analysis only, not real intraoperative ICG jaw osteomyelitis clinical ground truth.",accepted,review_required,1.0,,d046_video_signal_OFDVDNET_001_frame_000577_1ab8848a55,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\video_signal_segmentation_manifest.csv,video_signal_manifest,,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-121707-000004-record.mp4,train,38.466667,2048
vsm_d046_video_signal_OFDVDNET_001_frame_000769_42c7678a86_fluorescence_hotspot_35824d5dbfda,769,1536,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\keyframes\d046_video_signal_OFDVDNET_001_frame_000769_42c7678a86.jpg,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,fluorescence_intensity_proxy_mask,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\masks_proxy\d046_video_signal_OFDVDNET_001_frame_000769_42c7678a86_fluorescence_signal_mask.png,fluorescence_hotspot,"This multi-mask manifest merges public/proxy video-signal masks and prompt-assisted review masks. It is for platform model training and error analysis only, not real intraoperative ICG jaw osteomyelitis clinical ground truth.",accepted,review_required,1.0,,d046_video_signal_OFDVDNET_001_frame_000769_42c7678a86,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\video_signal_segmentation_manifest.csv,video_signal_manifest,,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-121707-000004-record.mp4,train,51.266667,2048
vsm_d046_video_signal_OFDVDNET_002_frame_000000_966494e5f1_fluorescence_hotspot_1e89c9d82ea2,0,1536,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\keyframes\d046_video_signal_OFDVDNET_002_frame_000000_966494e5f1.jpg,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,fluorescence_intensity_proxy_mask,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\masks_proxy\d046_video_signal_OFDVDNET_002_frame_000000_966494e5f1_fluorescence_signal_mask.png,fluorescence_hotspot,"This multi-mask manifest merges public/proxy video-signal masks and prompt-assisted review masks. It is for platform model training and error analysis only, not real intraoperative ICG jaw osteomyelitis clinical ground truth.",accepted,review_required,1.0,,d046_video_signal_OFDVDNET_002_frame_000000_966494e5f1,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\video_signal_segmentation_manifest.csv,video_signal_manifest,,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-121809-000007-record.mp4,train,0.0,2048
vsm_d046_video_signal_OFDVDNET_002_frame_000300_cd1ae4fc10_fluorescence_hotspot_c6c3f0b0a947,300,1536,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\keyframes\d046_video_signal_OFDVDNET_002_frame_000300_cd1ae4fc10.jpg,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,fluorescence_intensity_proxy_mask,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\masks_proxy\d046_video_signal_OFDVDNET_002_frame_000300_cd1ae4fc10_fluorescence_signal_mask.png,fluorescence_hotspot,"This multi-mask manifest merges public/proxy video-signal masks and prompt-assisted review masks. It is for platform model training and error analysis only, not real intraoperative ICG jaw osteomyelitis clinical ground truth.",accepted,review_required,1.0,,d046_video_signal_OFDVDNET_002_frame_000300_cd1ae4fc10,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\video_signal_segmentation_manifest.csv,video_signal_manifest,,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-121809-000007-record.mp4,train,20.0,2048
vsm_d046_video_signal_OFDVDNET_002_frame_000600_a8499555db_fluorescence_hotspot_3678d76bb7a3,600,1536,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\keyframes\d046_video_signal_OFDVDNET_002_frame_000600_a8499555db.jpg,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,fluorescence_intensity_proxy_mask,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\masks_proxy\d046_video_signal_OFDVDNET_002_frame_000600_a8499555db_fluorescence_signal_mask.png,fluorescence_hotspot,"This multi-mask manifest merges public/proxy video-signal masks and prompt-assisted review masks. It is for platform model training and error analysis only, not real intraoperative ICG jaw osteomyelitis clinical ground truth.",accepted,review_required,1.0,,d046_video_signal_OFDVDNET_002_frame_000600_a8499555db,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\video_signal_segmentation_manifest.csv,video_signal_manifest,,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-121809-000007-record.mp4,train,40.0,2048
vsm_d046_video_signal_OFDVDNET_002_frame_000901_b6f827fe0a_fluorescence_hotspot_6f1be85c71c6,901,1536,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\keyframes\d046_video_signal_OFDVDNET_002_frame_000901_b6f827fe0a.jpg,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,fluorescence_intensity_proxy_mask,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\masks_proxy\d046_video_signal_OFDVDNET_002_frame_000901_b6f827fe0a_fluorescence_signal_mask.png,fluorescence_hotspot,"This multi-mask manifest merges public/proxy video-signal masks and prompt-assisted review masks. It is for platform model training and error analysis only, not real intraoperative ICG jaw osteomyelitis clinical ground truth.",accepted,review_required,1.0,,d046_video_signal_OFDVDNET_002_frame_000901_b6f827fe0a,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\video_signal_segmentation_manifest.csv,video_signal_manifest,,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-121809-000007-record.mp4,val,60.066667,2048
vsm_d046_video_signal_OFDVDNET_002_frame_001201_6f7551386c_fluorescence_hotspot_a75148aaaeeb,1201,1536,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\keyframes\d046_video_signal_OFDVDNET_002_frame_001201_6f7551386c.jpg,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,fluorescence_intensity_proxy_mask,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\masks_proxy\d046_video_signal_OFDVDNET_002_frame_001201_6f7551386c_fluorescence_signal_mask.png,fluorescence_hotspot,"This multi-mask manifest merges public/proxy video-signal masks and prompt-assisted review masks. It is for platform model training and error analysis only, not real intraoperative ICG jaw osteomyelitis clinical ground truth.",accepted,review_required,1.0,,d046_video_signal_OFDVDNET_002_frame_001201_6f7551386c,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\derived\video_signal_segmentation_20260706\video_signal_segmentation_manifest.csv,video_signal_manifest,,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-121809-000007-record.mp4,train,80.066667,2048
